User	Sim	Time	Index	User or Model?	Event	Item	Action	Laser on status	Wavelength	Width	Concentration	Absorption	Detector location	Ruler location	Table	X axis	Y axis	X axis scale	Y axis scale	Experiment #s included	Notes
90447168	light	0.0	0	model	initializing	sim	beersLawLab.sim.simStarted														
90447168	light	0.0	2	model	updating state			False	780	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
90447168	light	0.0	17	model	initializing	sim	beersLawLab.navigationBar.titleTextNode.textChanged														
90447168	light	3.1	572	user	toggle laser	laser button															
90447168	light	3.1	574	model	updating state			True	780	1.0	0.1	0.96	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
90447168	light	5.5	1131	user	dragStarted	cuvetteNode															
90447168	light	5.6	1136	user	dragged	cuvetteNode	increasing														
90447168	light	5.6	1138	model	updating state			True	780	1.01	0.1	0.97	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
90447168	light	5.7	1145	user	dragged	cuvetteNode	increasing														
90447168	light	5.7	1148	user	dragged	cuvetteNode	increasing														
90447168	light	5.7	1150	model	updating state			True	780	1.02	0.1	0.98	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
90447168	light	5.7	1153	user	dragged	cuvetteNode	increasing														
90447168	light	5.7	1155	model	updating state			True	780	1.03	0.1	0.99	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
90447168	light	5.7	1158	user	dragged	cuvetteNode	increasing														
90447168	light	5.7	1161	user	dragged	cuvetteNode	increasing														
90447168	light	5.7	1163	model	updating state			True	780	1.07	0.1	1.03	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
90447168	light	5.7	1166	user	dragged	cuvetteNode	increasing														
90447168	light	5.7	1168	model	updating state			True	780	1.09	0.1	1.05	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
90447168	light	5.7	1171	user	dragged	cuvetteNode	increasing														
90447168	light	5.8	1173	model	updating state			True	780	1.1	0.1	1.06	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
90447168	light	5.8	1176	user	dragged	cuvetteNode	increasing														
90447168	light	5.8	1178	model	updating state			True	780	1.11	0.1	1.07	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
90447168	light	5.8	1183	user	dragged	cuvetteNode	increasing														
90447168	light	5.8	1185	model	updating state			True	780	1.12	0.1	1.08	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
90447168	light	6.0	1198	user	dragged	cuvetteNode	increasing														
90447168	light	6.0	1200	model	updating state			True	780	1.14	0.1	1.09	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
90447168	light	6.0	1203	user	dragged	cuvetteNode	increasing														
90447168	light	6.0	1205	model	updating state			True	780	1.16	0.1	1.11	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
90447168	light	6.0	1208	user	dragged	cuvetteNode	increasing														
90447168	light	6.0	1210	model	updating state			True	780	1.18	0.1	1.13	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
90447168	light	6.1	1216	user	dragged	cuvetteNode	increasing														
90447168	light	6.1	1218	model	updating state			True	780	1.18	0.1	1.14	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
90447168	light	6.1	1221	user	dragged	cuvetteNode	increasing														
90447168	light	6.1	1224	user	dragged	cuvetteNode	increasing														
90447168	light	6.1	1226	model	updating state			True	780	1.21	0.1	1.16	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
90447168	light	6.1	1229	user	dragged	cuvetteNode															
90447168	light	6.2	1235	user	dragged	cuvetteNode	increasing														
90447168	light	6.2	1238	user	dragged	cuvetteNode	increasing														
90447168	light	6.2	1240	model	updating state			True	780	1.23	0.1	1.18	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
90447168	light	6.2	1243	user	dragged	cuvetteNode	increasing														
90447168	light	6.2	1245	model	updating state			True	780	1.26	0.1	1.21	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
90447168	light	6.2	1248	user	dragged	cuvetteNode	increasing														
